en,ig
This is a sample message in a sample dialog,Nke a bụ sampụlụ ozi n'ụdị sampụlụ dayalọ́ọ̀gụ̀
Fake menu item %d,Féèkìá ihenhọrọ menu %d
Border-only window,Àgbàtà-sọsọ windo
Bar,Báà
Normal Application Window,Nọ́máàlụ̀ usoroiheomume windo
Dialog Box,Igbe dayalọ́ọ̀gụ̀
Modal Dialog Box,Igbe dayalọ́ọ̀gụ̀ módáàlụ̀
Utility Palette,Iheọrụ páléètị̀
Torn-off Menu,Pịpụ-menu
Border,Àgbàtà
Button layout test %d,Nnwele ndozi bọtịn %d
%g milliseconds to draw one window frame,%g milisekọndụ ga-àdọ́ otu windo fréèmù
Usage: metacity-theme-viewer [THEMENAME],Njieme: omengosi-isiokwu-metacity [THEMENAME]
Error loading theme: %s,Ndehie na-edebata isiokwu: %s
"Loaded theme ""%s"" in %g seconds","Edebatara isiokwu ""%s"" n'otu %g ntabi anya"
Normal Title Font,Nọ́máàlụ̀ isiokwu ihumkpụrụedemede
Small Title Font,Obere isiokwu ihumkpụrụedemede
Large Title Font,Nnukwu isiokwu ihumkpụrụedemede
Button Layouts,Ndozi bọtịn ndị ahụ
Benchmark,Nrụọrụ hadwịa na sọftwịa
Window Title Goes Here,Isiokwu windo n'aga ebe a
Drew %d frames in %g client-side seconds (%g milliseconds per frame) and %g seconds wall clock time including X server resources (%g milliseconds per frame),A dọ́ọ́lá %d fréèmù na %g klayantị-saịdị ntabianya oge (%g milisekọndụ maka fréèmù nke ọbụla) nakwa %g oge elekere tinyere iheọrụ X sava (%g milisekọndụ maka fréèmù nke ọbụla)
position expression test returned TRUE but set error,Nnwale ebe nkọwa weghachitara EZIOKWU ma hazipụta ndehie
position expression test returned FALSE but didn't set error,Nnwale ebe nkọwa weghachitara ASỊ mana ahazighị ndehie
Error was expected but none given,A chọrọ ndehie mana enyeghị ya
Error %d was expected but %d given,A chọrọ %d ndehie mana e %d nyere ya
Error not expected but one was returned: %s,A chọghị ndehie mana eweghachitara otu: %s
"x value was %d, %d was expected","valiu x bụ %d, %d a chọrọ ya"
"y value was %d, %d was expected","valiu y bụ %d, %d a chọrọ ya"
%d coordinate expressions parsed in %g seconds (%g seconds average),%d chịkọlata nkọwa atọsasịrịla %g n'oge ntabianya (%g oge ntabianya nhatanha)
Screenshots,Skrììnshọ́ọ̀tụ̀ọ́
Windows,/_Windo ndị ahụ
%s is not responding.,"Windo ahụ ""%s"" anaghị ezighachi."
_Force Quit,_Kwụsị n'ike
Failed to get hostname: %s,Ọdịda nweta aha nnyere kọmputa: %s
Failed to open X Window System display '%s',Ọdịda n'imepe X Windo sistem ngosi '%s'
Lost connection to the display '%s'; most likely the X server was shut down or you killed/destroyed the window manager.,Anataghị mbanye ikuku ka egosi '%s'; nke kacha nke a gbanyụrụ X server mọọbụ i mebie/mebisia onyenlekọta windo.
Fatal IO error %d (%s) on display '%s'.,Ndehie IO nwere ike ibute nsogbu %d (%s) na ngosi '%s'.
Some other program is already using the key %s with modifiers %x as a binding,Ụfọdụ program ndị ọzọ ejiwela kíì %s ya na omemmegharị %x dịka baịndịn
There was an error running %s: %s,"Enwere ndehie na mbido a ""%s"": %s."
No command %d has been defined.,Onweghị ntiiwu %d akọwarala.
Move to workspace left,Kpụga na wọ́kspéèsì _akaekpe
Move to workspace right,Kpụga na wọ́kspéèsì a_kanri
Move to workspace above,Kpụga na wọ́kspéèsì _akaekpe
Move to workspace below,Kpụga na wọ́kspéèsì _ala
Switch windows of an application,Kpụgharịa n'etiti windo ozugbo
Reverse switch windows of an application,Kpụgharịa n'etiti windo ozugbo
Switch windows of an app directly,Kpụgharịa n'etiti windo ozugbo
Reverse switch windows of an app directly,Kpụgharịa n'etiti windo ozugbo
Show the run command prompt,Gosi pánēèlụ̀ menu ahụ
Launch Terminal,Bido ngwaọrụ mbupụ na mbubata ozi
Toggle window always appearing on top,Pịa mgbe ọbụla n'ọnọdụ elu
Toggle window on all workspaces or one,Pịa windo na wọ́kspéèsì niile
"Raise window if covered, otherwise lower it","Welite windo a na-ahụchaghị anya, kama budata"
Move window to top left corner,Kpụga windo n'otu wọ́kspēèsì n'akaekpe
Move window to top right corner,Kpụga windo n'otu wọ́kspēèsì n'akanri
Move window to bottom left corner,Kpụga windo n'otu wọ́kspēèsì n'akaekpe
Move window to bottom right corner,Kpụga windo n'otu wọ́kspēèsì n'akanri
Move window to top edge of screen,Kpụga windo n'otu wọ́kspēèsì ala
Move window to bottom edge of screen,Kpụga windo n'otu wọ́kspēèsì ala
Move window to right side of screen,Kpụga windo n'otu wọ́kspēèsì ala
Move window to left side of screen,Kpụga windo n'otu wọ́kspēèsì ala
"Clicking a window while holding down this modifier key will move the window (left click), resize the window (middle click), or show the window menu (right click). The middle and right click operations may be swapped using the ""resize_with_right_button"" key. Modifier is expressed as ""lt;Altgt;"" or ""lt;Supergt;"" for example.","Ịpị windo mgbe ijigidere kíì omemmegharị a ga-akpụgha windo (pịa n'akaekpe), megharịa ụhara windo (pịa n'etiti), mọọbụ gosi windo menu (pịa n'akanri). A kọwara omemmegharị dịka ""lt;Altgt;"" mọọbụ ""lt;Supergt;"" ọmụmatụ."
"Could not parse font description ""%s"" from GSettings key %s","Agaghị enwenwu ike itọsasị nkọwa ihumkpụrụedemede ""%s"" site na kíì GCon %s"
"Could not release screen %d on display ""%s""","Agaghị ahapụnwu ngosi inyogo %d ""%s"""
_Windows,/_Windo ndị ahụ
_Dialog,Igbe dayalọ́ọ̀gụ̀
_Modal dialog,Igbe dayalọ́ọ̀gụ̀ módáàlụ̀
_Utility,/Windo ndị ahụ/_iheọrụ
_Splashscreen,/Windo ndị ahụ/_inyogo nzipụta ọpụọ
_Top dock,/Windo ndị ahụ/_elu dọ́ọ̀kụ̀
_Bottom dock,/Windo ndị ahụ/_okpụrụ dọ́ọ̀kụ̀
_Left dock,/Windo ndị ahụ/_akaekpe dọ́ọ̀kụ̀
_Right dock,/Windo ndị ahụ/_akanri dọ́ọ̀kụ̀
_All docks,/Windo ndị ahụ/_dọ́ọ̀kụ̀ niile
Des_ktop,Elu
Show the applications menu,Gosi pánēèlụ̀ menu ahụ
Window placement behavior,Onyenlekọta windo:
Replace the running window manager,Nsogbu dị̄ n'onyenlekọta windo:
"mutter %s Copyright (C) 2001-%d Havoc Pennington, Red Hat, Inc., and others This is free software; see the source for copying conditions. There is NO warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.","metacity %s Copyright (C) 2001=2002 Havoc Pennington, Red Hat, Inc., nakwa ndị ọzọ Nke a bụ sọftwwịa efu; hụ́ nsirinweta maka ọnọdụ ndebata. Onweghị Warantíì; ọbụnaghị maka AZUMAAHỊA mọọbụ IKE MAKA IHEOMUME AKWADORO IME."
Error setting live hidden windows status status: %s,"Ndehie na-ahazi aha maka wọ́kspéèsì %d na""%s"": %s"
Error setting no tab popup status: %s,"Ndehie na-ahazi aha maka wọ́kspéèsì %d na""%s"": %s"
<mutter_session> attribute seen but we already have the session ID,<metacity_session> A hụrụ átrībúùtù mana enwego ID oge mmem
Mutter was compiled without support for verbose mode,Atụgharịrị metacity na-enweghị nkwado maka vèbóòsù móòdù
Modifier to use for extended window management operations,Omemmegharị ga-eji maka mmem ọ̀pị̀pị́ windo mmegharị
Attached Modal Dialog,Igbe dayalọ́ọ̀gụ̀ módáàlụ̀
Hide window,Megharịa ụhara windo
"Another compositing manager is already running on screen %i on display ""%s"".","Agaghị enwenwu ike ịnata nhọrọ onyenlekọta windo na %d ngosi inyogo ""%s"""
“%s” is not responding.,"Windo ahụ ""%s"" anaghị ezighachi."
Application is not responding.,"Windo ahụ ""%s"" anaghị ezighachi."
"""%s"" is not a valid accelerator","""%s"" abụghị uru nwereisi maka fókọ́ọ̀sụ̀ átrībúùtù"
Unknown %s,Elementị a na-amaghị %s
"If set to true, and the focus mode is either ""sloppy"" or ""mouse"" then the focus will not be changed immediately when entering a window, but only after the pointer stops moving.","Ọ bụrụ na ọ bu eziokwu, nakwa fókọ́ọ̀sụ̀ móòdù ahụ nwereike bụrụ ""sloppy"" mọọbụ ""mouse"" mgbe ahụ windo fókọ́ọ̀sụ̀ ga eji aka ya welite onwe ya n'ogbugbu oge ahụ (Ezipụtara ogbugbu oge ahụ site na kíì auto_raise_delay)."
"GTK custom color specification must have color name and fallback in parentheses, e.g. gtk:custom(foo,bar); could not parse ""%s""","GTK nzipụta ụcha ga-enwe akara mmechi ma agachaa ọnọdụ, ọmụmaatụ. gtk:fg[NORMAL] ebe NỌ́MÁÀLỤ̀ bụ ọnọdụ; agaghị enwenwu ike ịtọsasi ""%s"""
"Gtk:custom format is ""gtk:custom(color_name,fallback)"", ""%s"" does not fit the format","Ọdịdị shéèdì bụ ""shade/base_color/factor"", ""%s"" ọdaghị n'ọnọdụ"
Move window one monitor to the left,Kpụga windo n'otu wọ́kspēèsì n'akaekpe
Move window one monitor to the right,Kpụga windo n'otu wọ́kspēèsì n'akanri
Move window one monitor up,Kpụga windo n'otu wọ́kspēèsì n'elu
Move window one monitor down,Kpụga windo n'otu wọ́kspēèsì ala
Move window to last workspace,Kpụga windo na 1wọ́kspēèsì
Switch to last workspace,Banye na wọ́kspéèsì 1
Switch to VT 1,Banye na wọ́kspéèsì 1
Switch to VT 2,Banye na wọ́kspéèsì 2
Switch to VT 3,Banye na wọ́kspéèsì 3
Switch to VT 4,Banye na wọ́kspéèsì 4
Switch to VT 5,Banye na wọ́kspéèsì 5
Switch to VT 6,Banye wọ́kspéèsì 6
Switch to VT 7,Banye na wọ́kspéèsì 7
_Patterns,_Ụdị
Drag a pattern tile to an object to change it,Kpụga ụdị taịlụ na ọbjektị ka ọ gbanwee ya
Blue Ridge,Blu Ríìjì
Blue Rough,Blu Rọ́ọ̀fụ̀
Blue Type,Ụdị Blu
Brushed Metal,Igwe ehichara ehicha
Burlap,Bọláàpụ̀
Camouflage,Kamuflaaji
Chalk,Ńzú
Cork,Kọ́ọ̀kụ̀
Countertop,Káwụ́ńtátọ́ọ̀pụ̀
Dark GNOME,GNOME dị oji
Dots,Dọ́ọ̀tụ̀
Fibers,Faịba
Fleur De Lis,Fleur De Lis
Floral,Flọrààlụ̀
Fossil,Fọ̀sị́ị̀lụ̀
GNOME,GNOME
Green Weave,Gríìn Wíìvù
Ice,Áị̀zị̀
Manila Paper,Manịla pepa
Moss Ridge,Mọs Ríìjì
Numbers,Ọnụọgụgụ
Ocean Strips,Oshiọn stripsi
Purple Marble,Pọpụl Mabụlụ
Ridged Paper,Ríìjí pepa
Rough Paper,Rọf Pepa
Sky Ridge,Elu Ríìjì
Snow Ridge,Snóò Ríìjì
Stucco,Stuko
Terracotta,Terakota
Wavy White,Ọcha Wevi
White Ribs,Agịrịga dị ọcha
C_olors,Ụ_cha ndị ahụ
Drag a color to an object to change it to that color,Kpụga ụcha na ọbjektị ka ọ gbanwee ya na ụcha ahụ
Mango,Mangoro
Orange,Oroma
Tangerine,Oroma
Grapefruit,Grepfrúùtù
Ruby,Rọbi
Pale Blue,Péèlụ́ Blu
Sky,Elu
Danube,Dànúùbù
Indigo,Ịndigo
Violet,Váyọ́léètị̀
Sea Foam,Séè fom
Leaf,Ahịhịa
Deep Teal,Tíìlì miri emi
Dark Cork,Kọ́ọ̀kụ́ dị oji
Mud,Mọ́ọ̀dụ̀
Fire Engine,Igwe ọ́kụ̄
Envy,Ekworo
Azul,Azul
Lemon,Lémọ̄ọ̀nụ̀
Bubble Gum,Bọbụl Gọm
White,Ọcha
Apparition,Inyogo gbagwojuruanya
Silver,Sịlịva
Concrete,Kèáhụ̀rụ̀ anya
Shale,Shéèlụ̀
Granite,Granaịtị
Eclipse,Eklíìpsị̀
Charcoal,Únyì
Onyx,Oniksị
Black,Oji
_Emblems,_Akaranhụbáámā
Drag an emblem to an object to add it to the object,Kpụga akara nhụbáámā na ọbjektị ka ịtinye ya n'ọbjektị ahụ
Erase,Hichaa
Alert Type,Ụdị Blu
The type of alert,Ụdị faịlụ ahụ.
Show more _details,Gosi ndịna ahụ na nkọwada
Text,Hichaa _Ngwe
The text of the label.,Ụdị faịlụ ahụ.
Justification,Ebe emeredịkachọrọ
Cursor Position,Ebe emeredịkachọrọ
Selection Bound,Igbe Alpha nhọrọ
Select All,Họrọ _Ha niile
Whether to show hidden files,Ma ọ bụ ka egosi faịlụ ndị ahụ e zoro ezo
"If set to true, then hidden files are shown in the file manager. Hidden files are either dotfiles or are listed in the folder's .hidden file.","Ọ bụrụ na a haziri ya na eziokwu, ya bụ na a ga-egosi faịlụ ndị e zoro ezo na onyenlekọta faịlụ. Faịlụ ndị e zoro ezo nwere ike ị́bụ̄ dọtfaịlụ mọọbụ na edesịtara ha na nsoromebefaịlụ .faịlụ ndị e zoro ezo."
Whether to show backup files,Ma ọ bụ ka egosi mgbakwunye faịlụ ndị ahụ
"If set to true, then backup files such as those created by Emacs are displayed. Currently, only files ending in a tilde (~) are considered backup files.","Ọ bụrụ na a haziri ya na eziokwu, mgbe ahụ faịlụ mgbakwunye dịka ndị Emacs kewapụtara ka egosipụtara. Kèọ́fụ́ụ̄, sọsọ faịlụ ndị gwụrụ na tildị (~) ka e weere dịka mgbakwunye faịlụ."
"Enables the classic Nautilus behavior, where all windows are browsers","Na-ekwe àgwà Nautilus nke bụ̄ ákpụ̀, ebe windo niile ndị ahụ bụcha omenchọgharị"
"If set to true, then all Nautilus windows will be browser windows. This is how Nautilus used to behave before version 2.6, and some people prefer this behavior.","Ọ bụrụ na a haziri ya na eziokwu, Nautilus windo niile ga-abụ windo nchọgharị. Nke a bụ etu Nautilus sị akpa agwa túpúù agbanke 2.6, nakwa ụfọdụ ndị mmadụ kara chọọ agwa a."
Where to position newly open tabs in browser windows.,Na-emepe na _windo omenchọgharị
"If set to true, then Nautilus will never prompt nor autorun/autostart programs when a medium is inserted.","Ọ bụrụ na a haziri ya na eziokwu, Nautilus ga-ewelite windo Nautilus ọfụụ site na dìfọ́ọ̀ltụ̀ mgbe ọbụla e mepere ihenhọrọ."
"Whether to ask for confirmation when deleting files, or emptying Trash",Ma ọ bụ ka a jụọ maka nkwepụta mgbe a na-akpụga faịlụ ndị ahụ n'ebemkpofuozi
"If set to true, then Nautilus will ask for confirmation when you attempt to delete files, or empty the Trash.","Ọ bụrụ na a haziri ya na eziokwu, Nautilus ga-ajụ maka nkwepụta mgbe ịchọrọ itinye faịlụ ndị ahụ n'ebemkpofuozi."
Whether to enable immediate deletion,Ma ọ bụ ka é kwé nhicha ozugbo
"If set to true, then Nautilus will have a feature allowing you to delete a file immediately and in-place, instead of moving it to the trash. This feature can be dangerous, so use caution.","Ọ bụrụ na a haziri ya na eziokwu, Nautilus ga-enwe iheọrụ ga-enyere gị ohere ihicha faịlụ ozugbo n'ebe, kama ịkpụga ya n'ebemkpofuozi. Iheọrụ a nwere ike i dị̄ egwu, ya bụ na ka i jiri nzere."
When to show preview text in icons,Mgbe a na-egosi nlebiritụanya ngwe na aịkọn ndị ahụ
"Speed tradeoff for when to show a preview of text file contents in the file's icon. If set to ""always"" then always show previews, even if the folder is on a remote server. If set to ""local_only"" then only show previews for local file systems. If set to ""never"" then never bother to read preview data.","Trédọ́ọ̀fụ̀ ngwangwa maka mgbe a ga elebiritụanya na ndịna faịlụ ngwe mgbe na aịkọn faịlụ. Ọ bụrụ na a haziri ya na ""mgbe obụla"" ya bụ gosi nlebiritụanya mgbe ọbụla, ọbụrụgodi na nsomebefaịlụ ahụ nọ na rìmóòtù sava. Ọ bụrụ na a haziri ya na ""nkeụlọ_sọsọ"" ya bụ kpọọ sọsọ nlebiritụanya na faịlụ sistem nkeụlọ. Ọ bụrụ na a haziri ya na ""ọgaghị"" ya bụ na enyekwala onwe gị nsogbu n'iwepụtaozi nlebiritụanya nke data."
