,en,ig
9110,I am an Igbo person,Abụ m onye Igbo
9111,speak Igbo,sụ Igbo
9112,indigenous,sụ Igbo
9113,as opposed to something of outside origin,sụ Igbo
9114,Igbo name,afa Igbo
9115,Igbo name,afa Oyibo
9116,dwarf cattle,efi Igbo
9117,dwarf cattle,efi Awụsa
9118,type of palm-oil,ofe Igbo
9119,in a more restricted sense,ofe Igbo
9120,the upland people to the east of the Niger,ofe Igbo
9121,type of palm-oil,ndị Igbo
9122,in a more restricted sense,ndị Igbo
9123,the upland people to the east of the Niger,ndị Igbo
9124,type of palm-oil,ndị Olu
9125,in a more restricted sense,ndị Olu
9126,the upland people to the east of the Niger,ndị Olu
9127,term for most of the peoples of Anambra Division,Igbo Adagbe
9128,term for the peoples of Idemmili,Igbo Agba Enu
9129,Aguata and Awka Divisions,Igbo Agba Enu
9130,see igbo,igbogidi
9131,imitation coffin containing plantain stem representing dead person,igbụdụ
9132,thrown away in the bush during the second burial,igbụdụ
9133,trap for animals,igbụdụ
9134,sky,igwe
9135,heaven,igwe
9136,firmament,igwe
9137,regarded as an alụsị created directly by Chukwu,igwe
9138,sky,alụsị
9139,heaven,alụsị
9140,firmament,alụsị
9141,regarded as an alụsị created directly by Chukwu,alụsị
9142,title for an Obi or Eze,Igwe ka Anị
9143,name of a very notorious and powerful Igbo cult,Igwe ka Anị
9144,with which many important Igbos were connected. It has been banned by legislation,Igwe ka Anị
9145,title for an Obi or Eze,Obi
9146,name of a very notorious and powerful Igbo cult,Obi
9147,with which many important Igbos were connected. It has been banned by legislation,Obi
9148,title for an Obi or Eze,Eze
9149,name of a very notorious and powerful Igbo cult,Eze
9150,with which many important Igbos were connected. It has been banned by legislation,Eze
9151,the firmament and the earth,Igwe na Anị
9152,which together make up Ụwa,Igwe na Anị
9153,the visible world,Igwe na Anị
9154,the firmament and the earth,Nri
9155,which together make up Ụwa,Nri
9156,the visible world,Nri
9157,the firmament and the earth,Ụwa
9158,which together make up Ụwa,Ụwa
9159,the visible world,Ụwa
9160,praise-name for someone who has taken highest title,Igwe na-ezụlu ora
9161,the sky,enu igwe
9162,heaven,enu igwe
9163,heaven and earth,enu igwe na ụwa
9164,title for a king or chief,enu igwe na ụwa
9165,weather,iru igwe
9166,sky ?,iru igwe
9167,weather,iru anyaanwụ
9168,sky ?,iru anyaanwụ
9169,salutation for a king,igwe
9170,"They are saluting him ""Igwe",F� na-etu ya igwe
9171,"""",F� na-etu ya igwe
9172,iron,igwe
9173,any type of machinery or mechanical contrivance,igwe
9174,sewing-machine,igwe ịkwa akwa
9175,ride bicycle,gba igwe
9176,iron rod used for fighting,ṅdele igwe
9177,rod of iron,okpolo igwe
9178,steel trap,ọnya igwe
9179,large number,igwe
9180,flock of sheep,igwe atụlụ
9181,Union is strength,Igwe bụ ike
9182,Man's name,Igwe bụ ike
9183,large crowd,igwe m madụ
9184,louse,igwu
9185,cloth-louse,igwu akwa
9186,head-louse,igwu isi
9187,palm-fronds,igwụ
9188,prepare palm-fronds,kpa igwụ
9189,locust,igwụlụbe
9190,locust,igụlụbe
9191,journey,ije
9192,slow and steady wins the race,Nwayọọ bụ ije
9193,start on a journey,buni ije
9194,farewell,ije ọma
9195,go on tour,pụ ije
9196,travel,pụ ije
9197,pick one's way,ranye ije
9198,move on slowly,ranye ije
9199,step,ranye ije
9200,toddle,ranye ije
9201,embark or continue on a journey,setịpụ ije
9202,traveller,onye ije
9203,soldier ant,ijele
9204,soldier ant,elụuluu
9205,a graceful masquerade with a very large complex mask,ijele
9206,small round jingling metal bells worn while dancing,ijele
9207,strung bells,ijele
9208,annual flooding of the Niger,iji
9209,annual flooding of the Niger,atịta
9210,annual flooding of the Niger,Akele na-akpọ iji
9211,annual flooding of the Niger,Mmili na-erụghalị azụ
9212,fly,ijiji
9213,housefly,ijiji
9214,strength,ike
9215,authority,ike
9216,force,ike
9217,power,ike
9218,fatigue,ike ọgwụgwụ
9219,tiredness,ike ọgwụgwụ
9220,exhaustion,ike ọgwụgwụ
9221,rigid discipline,aka ike
9222,stinginess,aka ike
9223,force,aka ike
9224,violence,aka ike
9225,The chief enforces rigid discipline in his town,Eze afụ ji aka ike welu achị ndi obodo ya
9226,boldness,anya ike
9227,greed,anya ike
9228,fearlessness,anya ike
9229,axe,anya ike
9230,health,arụ ike
9231,tighten,fiedosi ike
9232,tire,gwụ ike
9233,make weary,gwụ ike
9234,tired,gwụ ike
9235,sap energy,gwụ ike
9236,violence,ife ike
9237,rebellion,isi ike
9238,a rebel,onye isi ike
9239,salutation to one starting on a journey,je si ike
9240,tighten,kedosi ike
9241,push firmly,kwasi ike
9242,speak strongly or loudly,kwusi ike
9243,stand firm,kwụsị ike
9244,work hard,lụsi ike
9245,energetically,lụsi ike
9246,be headstrong,me isi ike
9247,do violently,me n'ike
9248,forcibly,me n'ike
9249,imprisonment with hard labour,ṅga ọlụ ike
9250,be capable,nwe ike
9251,strong,nwe ike
9252,able,nwe ike
9253,strengthless,enwe ike
9254,a weakling,enwe ike
9255,hard heartedness,obi ike
9256,relentlessness,obi ike
9257,tyranny,ọchịchị aka ike
9258,be strong,si ike
9259,hard,si ike
9260,difficult,si ike
9261,bottom,ike
9262,hinder part,ike
9263,buttock,ike
9264,anus,ike
9265,rectum,ike
9266,dregs,ike mmanya
9267,old man,ikei
9268,old,ikei
9269,the elders,ndị ikei
9270,used in,ikekele
9271,grind teeth,ta ikekele eze
9272,perhaps,ike kwọ
9273,perhaps,ike kwe
9274,Perhaps I will come,Ike kwọ aga m abịa
9275,used in,ikele
9276,groundnut,okpa ikele
9277,crumbs,ikelike
9278,fragments,ikelike
9279,eggshell,ikelike akwa
9280,spark,ikelike ọkụ
9281,personification of the strength of a man's right hand,Ikeṅga
9282,symbolizing success,Ikeṅga
9283,image representing Ikeṅga personal to a man and split at his funeral,Ikeṅga
9284,personification of the strength of a man's right hand,Ikeṅga
9285,symbolizing success,Ikeṅga
9286,image representing Ikeṅga personal to a man and split at his funeral,Ikeṅga
9287,right hand,aka ikeṅga
9288,jar for storing palm wine,ikeṅga
9289,used in,ikeṅga
9290,giant ants,ikeṅga elụuluu
9291,with very big heads,ikeṅga elụuluu
9292,seen among smaller ones,ikeṅga elụuluu
9293,grown men,ikenye
9294,grown men,ikenya
9295,elders,ikenye
9296,elders,ikenya
9297,principal men,ikenye
9298,principal men,ikenya
9299,used in,ikike
9300,joint used in,ikili
9301,elbow,ikili aka
9302,part of jaw near molar,ikili eze
9303,heel,ikili ụkwụ
9304,used in,ikiti
9305,footstep,ikiti ụkwụ
9306,fish-trap,iko
9307,cup,iko
9308,drinking vessel,iko
9309,boiled in tins  instead of being wrapped in leaves,elele iko elele
9310,cupful,nju iko
9311,wooden drum,ikolo
9312,wooden drum,ukolo
9313,played on great occasions,ikolo
9314,played on great occasions,ukolo
9315,e.g. when a great man dies,ikolo
9316,e.g. when a great man dies,ukolo
9317,or as an alarm for war,ikolo
9318,or as an alarm for war,ukolo
9319,Women cannot dance to the ikolo,Nwaanyị adị agba ukolo
9320,Women cannot dance to the ikolo,ikolo
9321,see okolo,ikolobịa
9322,see okolo,okolo
9323,male,ikom
9324,male,inyom
9325,males,ndị ikom
9326,men,ndị ikom
9327,eyebrow,ikụ
9328,eyebrow,ṅkụ
9329,eyebrow,ikụ anya
9330,breeze,ikụkụ
9331,wind,ikụkụ
9332,gale,ikụkụ
9333,south wind,ikụku ọgbarụ
9334,breeze from down-river,ikụku ọgbarụ
9335,judgement,ikpe
9336,justice,ikpe kwụọtọ
9337,The king administered justice,Eze afụ kpelụ ikpe kwụ ọtọ
9338,complain,chi ikpe
9339,make complaint,chi ikpe
9340,give judgement,ke ikpe
9341,condemn,ma ikpe
9342,He was found guilty of stealing,A malụ ya ikpe ori
9343,condemnation,amamikpe
9344,conviction,amamikpe
9345,judge,onye ikpe
9346,court of law,ụnọikpe
9347,slander,ikpe
9348,bad things said about one with exaggeration or untruth,ikpe
9349,see kpe,ikpe azụ
9350,see kpe,kpe
9351,knee,ikpele
9352,kneel,gbu ikpele
9353,edge,ikpele
9354,border,ikpele
9355,bank,ikpele
9356,bank of the river,ikpele mmili
9357,collection,ikpo
9358,set ?,ikpo
9359,collection,mkpụ
9360,set ?,mkpụ
9361,rubbish-heap,ikpo afịfịa
9362,set of books,ikpo akwụkwọ
9363,large crowd of people,ikpo mmadụ
9364,square bronze bell,ikpo
9365,masquerade covered with ikpo,mmụọikpo
9366,masquerade covered with ikpo,ikpo
9367,tall coarse tufted grass. Andropogon spp.,ikpo
9368,see ụkpo,ikpo
9369,see ụkpo,ụkpo
9370,general name for cichlid fish,ikpookpo
9371,Tilapia and Hemichromis genera,ikpookpo
9372,and extended to similar fish,ikpookpo
9373,Tilapia galilaea,ikpookpo agụ
9374,Tilapia nilotica,ikpookpo akasa
9375,Cichlidae tenopoma kingsleyae,ikpookpo nkọlọ
9376,Hemichromis fasciatus,ikpookpo ọnụ ogonogo
9377,Tilapia aurea,ikpookpo ụnọdị mma
9378,hairy part in front of genitals of either sex,ikpụ
9379,vulva,ikpụ
9380,worm,ikpulu
9381,maggot,ikpulu
9382,mortar,ikwe
9383,relative,ikwu
9384,He summoned his relatives,Ọ kpọndị ikwu ya
9385,our people,ikwu na anyị
9386,relatives and neighbours,ikwu na ibe
9387,kinsfolk and friends,ikwu na ibe
9388,the home quarter of one's mother,ikwu nne
9389,used in,ikwuụ
9390,moveable house,ụnọikwuụ
9391,tent,ụnọikwuụ
9392,booth,ụnọikwuụ
9393,tongue,ile
9394,Laportea aestrans,ile nkita
9395,flame,ile ọkụ
9396,spark,ile ọkụ
9397,hot part of fire,ile ọkụ
9398,taste,de n'ile
9399,string of the tongue,ekike ile
9400,clip words,gwọile
9401,put out the tongue,lapụta ile
9402,power,ile
9403,potency,ile
9404,effectiveness,ile
9405,This medicine is powerful,Ọgụ a dị �le
9406,ten,ili
9407,splinter,iliili
9408,weed,ililo
9409,enmity,ilo
9410,be enemies,dị n'ilo
9411,They are enemies,Fa di n'ilo
9412,Obi and myself are enemies,Mụ na Obi dị n'ilo
9413,enemy,onye ilo
9414,person bearing malice towards one,onye ilo
9415,outside,ilo
9416,compound outside walls,ilo
9417,outside,ezi ama
9418,compound outside walls,ezi ama
9419,outside,mbala ezi
9420,compound outside walls,mbala ezi
9421,outside,ezi
9422,compound outside walls,ezi
9423,clear the village square,bọ ilo
9424,precincts of a house,ezi ilo
9425,outside,n'ilo
9426,without,n'ilo
9427,road,okpolo ilo
9428,street,okpolo ilo
9429,go out,pụ ilo
9430,go for a stroll,pụ ilo
9431,go outside,pụ n'ilo
9432,deep thought,ilolo
9433,think,lo ililo
9434,think,ilolo
9435,adviser,ọka ilolo
9436,counsellor,ọka ilolo
9437,used in,ilolo
9438,gutter,ọnụ ilolo
9439,drain,ọnụ ilolo
9440,inside,ime
9441,interior,ime
9442,interior,imelime
9443,inmost part,imelime
9444,an inner room,imelime ụnọ
9445,name given to interior of the palace where the king mostly stays,ime obi
9446,room,ime ụnọ
9447,inside,n'ime
9448,in,n'ime
9449,within,n'ime
9450,inside the house,n'ime ụnọ
9451,out of,n'ime ụnọ
9452,pregnancy,n'ime ụnọ
9453,miscarriage,ime ọpụpụ
9454,miscarriage,ọpụpụ ime
9455,pregnancy,afọ ime
9456,be pregnant,bu afọ ime
9457,be pregnant,dị ime
9458,She is pregnant,Ọ dị ịme
9459,She is three months pregnant,Ọ dịịme ọnwa ịtọ
9460,Nobody knows tomorrow,Echi dị ịme
9461,abort,gbakwo ime
9462,miscarry,gbakwo ime
9463,abort,gbakwopụ ime
9464,miscarry,gbakwopụ ime
9465,cause abortion,ke ime
9466,be in labour,me ime
9467,travail,me ime
9468,pregnant woman,nwaanyị ime
9469,impregnate,tụba ime
9470,Ifeanyi will get you pregnant if you are not careful,Ifeanyi ga-atụba gị ime ọ bụlụ na ị kpachapụrọ anya
9471,become pregnant,tụ ime
9472,be pregnant,tụ ime
9473,become pregnant,tụlụ ime
9474,become pregnant illegitimately and accidentally,tụlụ ime
9475,My first daughter who has been in school has stopped schooling because she has become pregnant,Ada m nọ n'ụnọ akwụkwọ akwụsigo akwụkwọ maka na ọ tụlụgo ime
9476,well done,imela
9477,spoiling the earth,imelu-ani
9478,kiss,imionu
9479,kiss,isuonu
9480,kiss,agbobia isuonu
9481,liver,imeju
9482,much,imeliime
9483,plenty,imeliime
9484,a large number,imeliime
9485,A great crowd of people came here,Imeliime mmadụ bị�lụ ebe a
9486,nose,imi
9487,mucus,imi
9488,nose partly or wholly destroyed by disease,imi mpia
9489,depressed nostril,imi mpia
9490,blow the nose,mapụ imi
9491,nostril,oghele imi
9492,wrinkle nose in direction of person in disdain,su imi
9493,rub,te imi
9494,coat,te imi
9495,with mucus,te imi
9496,blow the nose,zi imi
9497,many,imilikiti
9498,tiny,imụlimu
9499,minute size,imụlimu
9500,He brought some fine sand,O kpụte imụlimu aja
9501,grave,ini
9502,burial place,ini
9503,grave,ni
9504,burial place,ni
9505,He has risen from the dead,O sigo n'ini kụnie
9506,cemetery,ini ozu
9507,burial ground,ini ozu
9508,burial place,ini ozu
9509,green leaf vegetable,inine
9510,�green amaranth',inine
9511,variety of Amaranthus hybridus,inine mgboloko
9512,wild or green amaranth,inine mmee
9513,spring or prickly Amaranth,inine ogwu
9514,bitterness,inu
9515,be bitter,nu inu
9516,This drug is bitter,Ọgwụ ṅkaa na-enu inu
9517,proverb,inu
9518,parable,inu
9519,riddle,inu
9520,Proverbs are the oil for eating speech,Inu bụ mmanụ e ji esuli okwu
9521,interpret a proverb or parable,kọwa inu
9522,propound riddle,nụ inu
9523,proverb,nụ inu
9524,speak proverb,tụ inu
9525,parable,tụ inu
9526,appearance of something not seen clearly,inyege
9527,either because of darkness or dazzling light,inyege
9528,see faintly,fụ inyege
9529,glisten,gbu inyege inyege
9530,It was very faint when he saw it,Ọ di �nyege
9531,It was very faint when he saw it,oge ọ fụlụ ya
9532,fish,inyegee
9533,wives,inyeme
9534,marry a number of wives,chị inyeme
9535,dirt,inyi
9536,be dirty,lu inyi
9537,filthy,lu inyi
9538,It is dirty,O lụ inyi
9539,foolishness,inyo
9540,foolish talk,okwu inyo
9541,female,inyom
9542,women,ndị inyom
9543,females,ndị inyom
9544,moonfish,ipete
9545,a general name for fish of the genus Citharinus,ipete
9546,Citharinus distichoides,ipete arịlị
9547,Citharinus latus,ipete eriri
9548,fish,ipo
9549,fish,ipo anwali
9550,story told in song,iro
9551,fable,iro
9552,fable,akụkọ iro
9553,myth,akụkọ iro
9554,face,iru
9555,front,iru
9556,forward part,iru
9557,fore-arm,iru aka
9558,sun,iru anyanwụ
9559,sky,iru anyanwụ
9560,modesty,iru ifele
9561,blushing,iru ifele
9562,weather,iru igwe
9563,sky,iru igwe
9564,edge,iru mma
9565,hypocrite,iru naabọ
9566,hypocrisy,iru naabọ
9567,That man is a hypocrite,Nwoke afụ bụ onye iru naabọ
9568,backwards and forwards,iru na azụ
9569,up and down,iru na azụ
9570,to and fro,iru na azụ
9571,face to face,iru na iru
9572,cheerfulness,iru ọcha
9573,He is a cheerful person,Ọ bụ mmadụ iru ọcha
9574,bad omen,iru ọjọọ
9575,favour,iru ọma
9576,goodness,iru ọma
9577,good omen,iru ọma
9578,stare at,bo iru
9579,sulk,chagha iru
9580,be opposite,che iru
9581,face,chelịta iru
9582,direct gaze against,chelịta iru
9583,towards,chelịta iru
9584,present,che n'iru
9585,place before,che n'iru
9586,face,do iru
9587,turn face to incline towards,do iru
9588,forehead,egedege iru
9589,forehead,egenege iru
9590,be open,fo iru
9591,clear,fo iru
9592,spacious,fo iru
9593,go before,gabulu n'iru
9594,go forward,ga n'iru
9595,go in front,ga n'iru
9596,progress,ga n'iru
9597,be progressive,ga n'iru
9598,progress,ọganiiru
9599,be coy,go iru
9600,hesitate to grant a request which one actually wants to grant,go iru
9601,frown,gbadụba iru
9602,scowl,gbadụba iru
9603,make sour face,gbadụba iru
9604,grimace,gbadụba iru
9605,sulk,gbalụ iru
9606,scowl,gbalụ iru
9607,lower,gbalụ iru
9608,look cheerful,gbasa iru
9609,smile,gbasa iru
9610,turn upside down,ghakpụ iru
9611,lie face downwards,ghakpụ iru
9612,go forward,je n'iru
9613,go in front,je n'iru
9614,upset,kpụ iru
9615,overturn,kpụ iru
9616,turn upside down,kpụ iru
9617,abash,menye ifele n'iru
9618,anything fastened on forehead or in front,mkpọchi n'iru
9619,anything fastened on forehead or in front of,mkpọniiru
9620,forward,n'iru
9621,before,n'iru
9622,in public,n'iru ọra
9623,publicly,n'iru ọra
9624,that to come is greater,ṅke iru ka
9625,personal name,ṅke iru ka
9626,forehead,ṅkụ iru
9627,face,nye iru
9628,broad face,obodobo iru
9629,that which is to come,ọdịniiru
9630,cult of the face,ọdịniiru
9631,symbolizing one's commanding personality and influence,ọdịniiru
9632,symbolized by a wooden chalice,ọdịniiru
